country,year,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_522,Yes,Urban,Yes,1,40,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_523,No,Rural,Yes,3,20,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_524,Yes,Rural,Yes,6,23,Male,Child,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_525,No,Rural,Yes,6,35,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_526,Yes,Urban,No,4,65,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_527,Yes,Urban,Yes,5,25,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_528,Yes,Urban,Yes,1,50,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_529,Yes,Rural,Yes,2,29,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_530,No,Rural,No,8,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_531,No,Rural,Yes,6,56,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_532,No,Rural,Yes,5,74,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_533,Yes,Rural,Yes,1,60,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
Kenya,2018,uniqueid_534,Yes,Rural,Yes,1,34,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_535,Yes,Urban,Yes,3,28,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_536,No,Rural,No,1,78,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_537,Yes,Urban,Yes,3,59,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_538,Yes,Rural,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_539,Yes,Urban,Yes,2,25,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_540,No,Rural,Yes,6,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_541,Yes,Urban,Yes,1,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_542,No,Urban,Yes,5,59,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_543,No,Rural,Yes,2,29,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_544,No,Urban,Yes,5,42,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_545,Yes,Urban,Yes,1,27,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_546,Yes,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_547,Yes,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_548,No,Rural,Yes,10,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_549,Yes,Urban,Yes,5,37,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_550,No,Rural,Yes,1,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_551,No,Rural,No,4,16,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_552,No,Rural,Yes,5,23,Male,Child,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_553,Yes,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_554,No,Rural,Yes,3,57,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_555,No,Rural,Yes,7,20,Male,Child,Single/Never Married,No formal education,Farming and Fishing
Kenya,2018,uniqueid_556,Yes,Rural,Yes,4,50,Male,Other relative,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_557,Yes,Urban,Yes,1,55,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_558,No,Rural,Yes,5,36,Female,Other relative,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_559,No,Urban,Yes,6,41,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_560,No,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_561,Yes,Rural,Yes,1,36,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_562,No,Rural,Yes,4,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_563,No,Rural,Yes,3,70,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_564,No,Rural,Yes,3,60,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_565,Yes,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_566,No,Urban,Yes,4,25,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_567,Yes,Rural,Yes,1,35,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_568,No,Rural,Yes,5,38,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_569,No,Urban,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_570,No,Urban,Yes,1,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_571,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_572,Yes,Rural,Yes,3,42,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_573,No,Rural,Yes,2,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_574,No,Rural,Yes,8,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_575,Yes,Urban,Yes,1,20,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
Kenya,2018,uniqueid_576,Yes,Rural,Yes,4,32,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_577,No,Rural,No,2,24,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_578,No,Rural,No,6,18,Male,Child,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_579,No,Rural,No,8,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_580,Yes,Rural,Yes,1,32,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_581,Yes,Urban,Yes,2,29,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_582,No,Urban,Yes,4,20,Male,Child,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_583,No,Urban,Yes,5,39,Female,Spouse,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_584,No,Rural,Yes,9,56,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_585,No,Rural,No,4,30,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_586,No,Rural,Yes,2,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_587,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_588,No,Rural,Yes,7,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_589,Yes,Urban,Yes,1,23,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_590,Yes,Urban,Yes,4,30,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_591,No,Rural,No,6,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_592,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
Kenya,2018,uniqueid_593,No,Rural,Yes,6,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_594,No,Rural,Yes,5,58,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_595,Yes,Urban,Yes,6,28,Male,Child,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_596,Yes,Urban,Yes,1,19,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_597,Yes,Rural,Yes,2,63,Male,Head of Household,Widowed,Tertiary education,Farming and Fishing
Kenya,2018,uniqueid_598,Yes,Rural,Yes,6,68,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_599,Yes,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_600,No,Rural,No,7,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_601,No,Rural,Yes,3,31,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Kenya,2018,uniqueid_602,No,Urban,Yes,4,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_603,Yes,Rural,No,1,75,Female,Head of Household,Widowed,Primary education,Other Income
Kenya,2018,uniqueid_604,No,Rural,No,9,70,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_605,Yes,Urban,Yes,2,62,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing
Kenya,2018,uniqueid_606,No,Urban,No,2,70,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_607,No,Rural,No,6,40,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_608,No,Rural,No,10,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_609,No,Rural,Yes,5,47,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_610,Yes,Rural,Yes,6,42,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_611,No,Rural,No,9,30,Female,Other relative,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_612,No,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_613,No,Urban,Yes,2,46,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
Kenya,2018,uniqueid_614,No,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_615,No,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_616,No,Rural,Yes,7,56,Female,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_617,No,Rural,Yes,1,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_618,Yes,Rural,Yes,3,57,Female,Head of Household,Widowed,Secondary education,Informally employed
Kenya,2018,uniqueid_619,No,Urban,Yes,2,34,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,uniqueid_620,No,Rural,Yes,8,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_621,No,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_622,Yes,Rural,Yes,5,28,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_623,No,Urban,Yes,2,40,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_624,No,Urban,Yes,4,40,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_625,No,Rural,No,4,32,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_626,Yes,Rural,No,7,52,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_627,No,Urban,No,8,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_628,Yes,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_629,Yes,Rural,Yes,6,21,Male,Other relative,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_630,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_631,No,Rural,Yes,6,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_632,No,Rural,Yes,2,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_633,Yes,Urban,Yes,7,32,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_634,Yes,Urban,Yes,2,40,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_635,No,Rural,Yes,1,53,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_636,No,Rural,Yes,4,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_637,Yes,Urban,Yes,1,39,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_638,No,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_639,No,Rural,No,4,88,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_640,No,Rural,No,2,72,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
Kenya,2018,uniqueid_641,No,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_642,No,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_643,No,Rural,Yes,6,18,Female,Child,Single/Never Married,No formal education,Farming and Fishing
Kenya,2018,uniqueid_644,No,Rural,No,3,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_645,No,Rural,No,7,18,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_646,No,Urban,Yes,1,26,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,uniqueid_647,No,Urban,Yes,2,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_648,No,Urban,Yes,6,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_649,No,Urban,Yes,3,20,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_650,No,Urban,Yes,4,26,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_651,Yes,Urban,Yes,2,49,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_652,Yes,Urban,Yes,1,65,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_653,Yes,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_654,Yes,Rural,Yes,5,74,Male,Head of Household,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_655,No,Rural,Yes,5,36,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_656,Yes,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_657,No,Urban,Yes,2,22,Male,Other relative,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_658,No,Urban,No,3,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_659,No,Urban,Yes,1,58,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_660,No,Urban,Yes,1,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_661,No,Rural,No,9,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_662,No,Rural,Yes,3,20,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_663,No,Rural,No,7,85,Female,Parent,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_664,No,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_665,No,Rural,Yes,6,25,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_666,Yes,Rural,Yes,5,26,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_667,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_668,No,Urban,Yes,4,38,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_669,Yes,Urban,Yes,3,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_670,No,Rural,Yes,4,47,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_671,No,Rural,Yes,4,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_672,No,Rural,No,3,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_673,No,Rural,Yes,1,24,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_674,No,Rural,Yes,1,35,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,uniqueid_675,No,Urban,Yes,12,34,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_676,Yes,Urban,Yes,5,42,Male,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_677,No,Urban,Yes,1,40,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_678,Yes,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_679,No,Rural,No,2,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_680,Yes,Rural,Yes,3,19,Male,Child,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_681,No,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_682,No,Rural,No,4,90,Male,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_683,No,Rural,Yes,4,20,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_684,No,Rural,No,1,24,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_685,Yes,Urban,Yes,4,67,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_686,Yes,Rural,Yes,2,47,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_687,No,Rural,Yes,3,64,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_688,No,Urban,Yes,4,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_689,Yes,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_690,No,Rural,Yes,6,50,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_691,No,Urban,Yes,1,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_692,No,Rural,Yes,1,35,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_693,No,Rural,Yes,3,45,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_694,No,Rural,No,6,88,Male,Head of Household,Married/Living together,Other/Dont know/RTA,Other Income
Kenya,2018,uniqueid_695,Yes,Rural,Yes,5,37,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,2018,uniqueid_696,No,Rural,Yes,5,22,Female,Child,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,uniqueid_697,Yes,Urban,Yes,1,21,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_698,No,Rural,Yes,5,52,Male,Child,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,uniqueid_699,No,Rural,Yes,4,60,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_700,No,Rural,Yes,8,47,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_701,No,Rural,Yes,3,45,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_702,No,Urban,No,4,27,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_703,No,Urban,No,2,30,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_704,No,Rural,Yes,4,17,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_705,No,Rural,Yes,5,56,Male,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_706,Yes,Urban,Yes,1,20,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_707,No,Urban,Yes,4,36,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_708,Yes,Urban,Yes,7,38,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_709,No,Rural,Yes,4,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_710,No,Rural,No,5,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_711,Yes,Urban,Yes,4,35,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,2018,uniqueid_712,No,Rural,No,6,32,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_713,Yes,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Government
Kenya,2018,uniqueid_714,No,Rural,Yes,3,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_715,No,Rural,Yes,7,45,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_716,Yes,Urban,Yes,5,42,Female,Head of Household,Widowed,Secondary education,Informally employed
Kenya,2018,uniqueid_717,No,Urban,No,4,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_718,No,Rural,Yes,5,28,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_719,Yes,Urban,Yes,3,18,Male,Child,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_720,No,Rural,Yes,8,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_721,No,Rural,Yes,5,47,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_722,No,Urban,Yes,5,42,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_723,Yes,Rural,No,3,56,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_724,No,Rural,Yes,6,58,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_725,No,Urban,Yes,2,21,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_726,No,Rural,Yes,5,22,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_727,No,Urban,No,1,37,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_728,No,Urban,Yes,2,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_729,No,Urban,Yes,2,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_730,Yes,Urban,Yes,4,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_731,No,Rural,Yes,3,20,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_732,No,Rural,Yes,8,44,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_733,No,Urban,Yes,3,40,Female,Spouse,Married/Living together,Primary education,Other Income
Kenya,2018,uniqueid_734,No,Urban,Yes,4,30,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_735,No,Rural,No,3,70,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_736,No,Rural,No,2,60,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_737,No,Rural,No,1,65,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_738,No,Urban,Yes,8,30,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,uniqueid_739,No,Rural,Yes,3,68,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_740,Yes,Rural,Yes,3,75,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_741,No,Urban,No,4,55,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_742,No,Rural,Yes,5,48,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_743,No,Rural,Yes,1,77,Female,Head of Household,Single/Never Married,No formal education,Formally employed Private
Kenya,2018,uniqueid_744,Yes,Rural,Yes,1,35,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Government
Kenya,2018,uniqueid_745,No,Urban,No,1,23,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_746,No,Rural,Yes,1,61,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_747,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_748,No,Rural,No,3,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_749,No,Rural,No,4,21,Female,Other relative,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_750,No,Urban,Yes,8,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_751,No,Urban,Yes,2,26,Male,Spouse,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,uniqueid_752,No,Urban,Yes,6,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_753,No,Rural,Yes,5,53,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,uniqueid_754,Yes,Urban,Yes,6,38,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,uniqueid_755,Yes,Rural,Yes,6,44,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_756,No,Rural,Yes,2,26,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
